RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~12~Q31~TCC02~AGE~OVERALL,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,37.5,37.5,,,29.7,45.9,Age Group,Overall,,,POINT (-81.92896054 28.93204038),C06,TCC02,Q31,12,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~23~Q30~TCC01~AGE~GENDER,2022,2022,ME,Maine,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,9.6,9.6,,,8.0,11.4,Age Group,65 years or older,Gender,Female,POINT (-68.98503134 45.25422889),C06,TCC01,Q30,23,AGE,65PLUS,GENDER,FEMALE
BRFSS~2022~2022~55~Q31~TCC02~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-89.81637074 44.39319117),C06,TCC02,Q31,55,AGE,5064,RACE,NAA
BRFSS~2022~2022~18~Q41~TCC03~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-86.14996019 39.76691045),C06,TCC03,Q41,18,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~19~Q31~TCC02~AGE~GENDER,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Gender,Male,POINT (-93.81649056 42.46940091),C06,TCC02,Q31,19,AGE,5064,GENDER,MALE
BRFSS~2022~2022~41~Q31~TCC02~AGE~RACE,2022,2022,OR,Oregon,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-120.1550313 44.56744942),C06,TCC02,Q31,41,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~39~Q41~TCC03~AGE~RACE,2022,2022,OH,Ohio,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-82.40426006 40.06021014),C06,TCC03,Q41,39,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~19~Q41~TCC03~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-93.81649056 42.46940091),C06,TCC03,Q41,19,AGE,5064,RACE,ASN
BRFSS~2022~2022~45~Q42~TCC04~AGE~OVERALL,2022,2022,SC,South Carolina,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,51.7,51.7,,,43.5,59.8,Age Group,50-64 years,,,POINT (-81.04537121 33.9988213),C06,TCC04,Q42,45,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~49~Q41~TCC03~AGE~RACE,2022,2022,UT,Utah,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-111.5871306 39.36070017),C06,TCC03,Q41,49,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~49~Q42~TCC04~AGE~GENDER,2022,2022,UT,Utah,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,42.3,42.3,,,32.0,53.2,Age Group,65 years or older,Gender,Male,POINT (-111.5871306 39.36070017),C06,TCC04,Q42,49,AGE,65PLUS,GENDER,MALE
BRFSS~2022~2022~55~Q31~TCC02~AGE~GENDER,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,22.5,22.5,,,15.4,31.8,Age Group,65 years or older,Gender,Male,POINT (-89.81637074 44.39319117),C06,TCC02,Q31,55,AGE,65PLUS,GENDER,MALE
BRFSS~2022~2022~50~Q30~TCC01~AGE~GENDER,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,12.0,12.0,,,9.7,14.8,Age Group,65 years or older,Gender,Male,POINT (-72.51764079 43.62538124),C06,TCC01,Q30,50,AGE,65PLUS,GENDER,MALE
BRFSS~2022~2022~32~Q41~TCC03~AGE~RACE,2022,2022,NV,Nevada,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-117.0718406 39.49324039),C06,TCC03,Q41,32,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~04~Q41~TCC03~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,17.9,17.9,,,12.5,24.9,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-111.7638113 34.86597028),C06,TCC03,Q41,4,AGE,65PLUS,RACE,WHT
BRFSS~2022~2022~06~Q31~TCC02~AGE~GENDER,2022,2022,CA,California,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,41.3,41.3,,,29.7,53.8,Age Group,Overall,Gender,Female,POINT (-120.9999995 37.63864012),C06,TCC02,Q31,6,AGE,AGE_OVERALL,GENDER,FEMALE
BRFSS~2022~2022~41~Q30~TCC01~AGE~GENDER,2022,2022,OR,Oregon,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,11.8,11.8,,,8.9,15.6,Age Group,50-64 years,Gender,Male,POINT (-120.1550313 44.56744942),C06,TCC01,Q30,41,AGE,5064,GENDER,MALE
BRFSS~2022~2022~50~Q42~TCC04~AGE~GENDER,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,61.5,61.5,,,48.3,73.3,Age Group,50-64 years,Gender,Male,POINT (-72.51764079 43.62538124),C06,TCC04,Q42,50,AGE,5064,GENDER,MALE
BRFSS~2022~2022~51~Q31~TCC02~AGE~OVERALL,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,43.3,43.3,,,33.8,53.3,Age Group,50-64 years,,,POINT (-78.45789046 37.54268067),C06,TCC02,Q31,51,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~49~Q42~TCC04~AGE~RACE,2022,2022,UT,Utah,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-111.5871306 39.36070017),C06,TCC04,Q42,49,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~06~Q41~TCC03~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-120.9999995 37.63864012),C06,TCC03,Q41,6,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~19~Q30~TCC01~AGE~GENDER,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,9.0,9.0,,,6.4,12.5,Age Group,50-64 years,Gender,Male,POINT (-93.81649056 42.46940091),C06,TCC01,Q30,19,AGE,5064,GENDER,MALE
BRFSS~2022~2022~41~Q42~TCC04~AGE~RACE,2022,2022,OR,Oregon,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-120.1550313 44.56744942),C06,TCC04,Q42,41,AGE,5064,RACE,HIS
BRFSS~2022~2022~41~Q30~TCC01~AGE~GENDER,2022,2022,OR,Oregon,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,12.9,12.9,,,10.6,15.5,Age Group,Overall,Gender,Female,POINT (-120.1550313 44.56744942),C06,TCC01,Q30,41,AGE,AGE_OVERALL,GENDER,FEMALE
BRFSS~2022~2022~50~Q42~TCC04~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-72.51764079 43.62538124),C06,TCC04,Q42,50,AGE,5064,RACE,ASN
BRFSS~2022~2022~50~Q31~TCC02~AGE~GENDER,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,16.6,16.6,,,10.4,25.2,Age Group,65 years or older,Gender,Male,POINT (-72.51764079 43.62538124),C06,TCC02,Q31,50,AGE,65PLUS,GENDER,MALE
BRFSS~2022~2022~50~Q30~TCC01~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-72.51764079 43.62538124),C06,TCC01,Q30,50,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~06~Q42~TCC04~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-120.9999995 37.63864012),C06,TCC04,Q42,6,AGE,5064,RACE,ASN
BRFSS~2022~2022~39~Q42~TCC04~AGE~RACE,2022,2022,OH,Ohio,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-82.40426006 40.06021014),C06,TCC04,Q42,39,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~55~Q30~TCC01~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-89.81637074 44.39319117),C06,TCC01,Q30,55,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~12~Q42~TCC04~AGE~OVERALL,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,52.9,52.9,,,42.3,63.1,Age Group,65 years or older,,,POINT (-81.92896054 28.93204038),C06,TCC04,Q42,12,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~51~Q41~TCC03~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-78.45789046 37.54268067),C06,TCC03,Q41,51,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~39~Q30~TCC01~AGE~RACE,2022,2022,OH,Ohio,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-82.40426006 40.06021014),C06,TCC01,Q30,39,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~26~Q42~TCC04~AGE~RACE,2022,2022,MI,Michigan,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-84.71439027 44.66131954),C06,TCC04,Q42,26,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~26~Q30~TCC01~AGE~GENDER,2022,2022,MI,Michigan,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,8.2,8.2,,,5.3,12.6,Age Group,50-64 years,Gender,Female,POINT (-84.71439027 44.66131954),C06,TCC01,Q30,26,AGE,5064,GENDER,FEMALE
BRFSS~2022~2022~51~Q31~TCC02~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-78.45789046 37.54268067),C06,TCC02,Q31,51,AGE,5064,RACE,BLK
BRFSS~2022~2022~04~Q30~TCC01~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-111.7638113 34.86597028),C06,TCC01,Q30,4,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~55~Q31~TCC02~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-89.81637074 44.39319117),C06,TCC02,Q31,55,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~06~Q30~TCC01~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-120.9999995 37.63864012),C06,TCC01,Q30,6,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~32~Q41~TCC03~AGE~GENDER,2022,2022,NV,Nevada,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Gender,Female,POINT (-117.0718406 39.49324039),C06,TCC03,Q41,32,AGE,5064,GENDER,FEMALE
BRFSS~2022~2022~23~Q31~TCC02~AGE~GENDER,2022,2022,ME,Maine,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,29.5,29.5,,,22.3,37.8,Age Group,Overall,Gender,Male,POINT (-68.98503134 45.25422889),C06,TCC02,Q31,23,AGE,AGE_OVERALL,GENDER,MALE
BRFSS~2022~2022~18~Q41~TCC03~AGE~GENDER,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,35.7,35.7,,,26.8,45.6,Age Group,65 years or older,Gender,Female,POINT (-86.14996019 39.76691045),C06,TCC03,Q41,18,AGE,65PLUS,GENDER,FEMALE
BRFSS~2022~2022~23~Q31~TCC02~AGE~GENDER,2022,2022,ME,Maine,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,28.2,28.2,,,19.7,38.6,Age Group,65 years or older,Gender,Female,POINT (-68.98503134 45.25422889),C06,TCC02,Q31,23,AGE,65PLUS,GENDER,FEMALE
BRFSS~2022~2022~26~Q31~TCC02~AGE~RACE,2022,2022,MI,Michigan,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-84.71439027 44.66131954),C06,TCC02,Q31,26,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~39~Q41~TCC03~AGE~GENDER,2022,2022,OH,Ohio,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,25.9,25.9,,,15.0,40.7,Age Group,50-64 years,Gender,Male,POINT (-82.40426006 40.06021014),C06,TCC03,Q41,39,AGE,5064,GENDER,MALE
